ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,tags,notes
2022-01-01T20:59:59-07:00,"Friday, Dec 31, 2021","Saturday, Jan 1, 2022",2021-12-31 23:34:00,2022-01-01 07:41:00,08:07:00,00:51:00,00:00:00,1,07:16:00,07:17:12,89.5,92.9,04:09:47,05:31:09,,,91.2,65.2,73.7,72.4,43.0,55.2,,,22,27,,,,,,,,
2022-01-02T20:59:59-07:00,"Saturday, Jan 1, 2022","Sunday, Jan 2, 2022",2022-01-01 22:30:00,2022-01-02 07:07:00,08:37:00,00:30:00,00:00:00,1,08:07:00,07:25:30,94.2,93.1,05:31:46,05:31:15,02:01:45,02:22:20,57.5,63.9,65.4,71.4,63.0,56.5,,,29,26,,,,,,,,
2022-01-03T20:59:59-07:00,"Sunday, Jan 2, 2022","Monday, Jan 3, 2022",2022-01-02 23:01:00,2022-01-03 07:37:00,08:36:00,00:31:00,00:00:00,1,08:05:00,07:31:08,94.0,93.3,06:17:19,05:37:50,01:46:06,02:16:18,55.8,62.8,,,53.0,56.0,,,46,29,,,,,,,,
2022-01-05T20:59:59-07:00,"Tuesday, Jan 4, 2022","Wednesday, Jan 5, 2022",2022-01-04 22:20:00,2022-01-05 05:22:00,07:02:00,00:07:00,00:00:00,1,06:55:00,07:29:00,98.3,93.2,05:30:57,05:35:04,03:04:27,02:23:10,57.7,62.5,68.8,70.8,56.0,55.7,,,35,30,,,,,,,,
2022-01-06T20:59:59-07:00,"Wednesday, Jan 5, 2022","Thursday, Jan 6, 2022",2022-01-05 22:13:00,2022-01-06 07:18:00,09:05:00,00:35:00,00:00:00,1,08:30:00,07:38:08,93.6,92.7,06:47:16,05:48:47,03:05:27,02:29:18,58.2,62.8,72.7,70.1,60.0,56.3,,,28,30,,,,,,,,
2022-01-07T20:59:59-07:00,"Thursday, Jan 6, 2022","Friday, Jan 7, 2022",2022-01-06 22:16:00,2022-01-07 07:30:00,09:56:00,01:02:00,00:00:00,2,08:54:00,08:00:42,88.8,93.1,05:42:51,05:51:47,01:29:27,02:27:13,62.0,63.1,71.6,70.4,57.0,55.9,20,22,26,30,,,,,,,,
2022-01-08T20:59:59-07:00,"Friday, Jan 7, 2022","Saturday, Jan 8, 2022",2022-01-07 22:45:00,2022-01-08 03:15:00,04:30:00,00:00:00,00:00:00,1,04:30:00,07:28:08,100.0,94.1,03:29:19,05:21:19,,,69.9,64.6,69.6,70.2,69.0,57.3,,,22,30,,,,,,,,
2022-01-09T20:59:59-07:00,"Saturday, Jan 8, 2022","Sunday, Jan 9, 2022",2022-01-08 22:40:00,2022-01-09 07:27:00,08:47:00,01:20:00,00:00:00,1,07:27:00,07:29:42,84.8,93.4,05:43:49,05:34:45,02:07:43,02:25:19,58.3,59.9,68.8,69.5,58.0,59.4,59,34,34,31,,,,,,,,
2022-01-10T20:59:59-07:00,"Sunday, Jan 9, 2022","Monday, Jan 10, 2022",2022-01-09 21:57:00,2022-01-10 06:49:00,08:52:00,01:05:00,00:00:00,1,07:47:00,07:26:51,87.8,92.5,06:44:32,05:45:09,03:06:48,02:23:06,59.1,60.2,73.3,70.7,56.6,58.5,36,35,25,31,,,,,,,,
2022-01-11T20:59:59-07:00,"Monday, Jan 10, 2022","Tuesday, Jan 11, 2022",2022-01-10 21:46:00,2022-01-11 06:25:00,09:15:00,00:42:00,00:00:00,2,08:33:00,07:30:51,91.9,92.2,06:10:56,05:44:14,01:47:43,02:21:05,65.6,61.6,72.3,71.0,61.0,59.7,30,34,24,28,,,,,,,,
2022-01-12T20:59:59-07:00,"Tuesday, Jan 11, 2022","Wednesday, Jan 12, 2022",2022-01-11 21:02:00,2022-01-12 07:04:00,10:02:00,01:17:00,00:00:00,1,08:45:00,07:46:34,87.2,90.6,06:04:50,05:49:05,02:30:00,02:27:22,59.3,61.8,76.3,72.1,59.0,60.1,33,34,27,27,,,,,,,,
2022-01-13T20:59:59-07:00,"Wednesday, Jan 12, 2022","Thursday, Jan 13, 2022",2022-01-12 23:24:00,2022-01-13 07:46:00,08:22:00,00:14:00,00:00:00,1,08:08:00,07:43:25,97.2,91.1,06:47:28,05:49:07,03:27:02,02:30:35,58.5,61.8,72.1,72.0,58.0,59.8,,,38,28,,,,,,,,
2022-01-14T20:59:59-07:00,"Thursday, Jan 13, 2022","Friday, Jan 14, 2022",2022-01-13 21:15:00,2022-01-14 07:07:00,09:52:00,01:09:00,00:00:00,1,08:43:00,07:41:51,88.3,91.0,06:15:44,05:53:48,02:18:26,02:23:52,58.8,61.4,,,58.0,59.9,55,37,28,28,,,,,,,,
2022-01-16T20:59:59-07:00,"Saturday, Jan 15, 2022","Sunday, Jan 16, 2022",2022-01-15 21:35:00,2022-01-16 08:02:00,10:27:00,02:32:00,00:00:00,1,07:55:00,08:11:08,75.8,87.6,05:31:52,06:11:19,01:16:37,02:22:02,62.7,60.3,69.6,72.4,60.0,58.7,26,37,30,29,,,,,,,,
2022-01-17T20:59:59-07:00,"Sunday, Jan 16, 2022","Monday, Jan 17, 2022",2022-01-16 23:45:00,2022-01-17 06:29:00,06:44:00,00:00:00,00:00:00,1,06:44:00,08:05:00,100.0,89.7,05:24:40,06:08:35,01:44:44,02:18:45,59.7,60.5,76.3,73.5,60.0,58.9,,,31,29,,,,,,,,
2022-01-18T20:59:59-07:00,"Monday, Jan 17, 2022","Tuesday, Jan 18, 2022",2022-01-17 21:15:00,2022-01-18 06:38:00,09:23:00,00:54:00,00:00:00,1,08:29:00,08:11:00,90.4,90.1,06:41:42,06:08:10,03:05:05,02:18:31,61.7,60.9,74.6,73.6,57.0,59.0,,,26,29,,,,,,,,
2022-01-19T20:59:59-07:00,"Tuesday, Jan 18, 2022","Wednesday, Jan 19, 2022",2022-01-18 21:30:00,2022-01-19 07:23:00,09:53:00,01:15:00,00:00:00,1,08:38:00,08:11:42,87.4,89.5,06:53:54,06:14:19,01:31:25,02:16:11,66.5,61.0,75.8,74.1,63.0,59.3,26,38,22,29,,,,,,,,
2022-01-20T20:59:59-07:00,"Wednesday, Jan 19, 2022","Thursday, Jan 20, 2022",2022-01-19 23:20:00,2022-01-20 05:59:00,06:39:00,00:17:00,00:00:00,1,06:22:00,07:51:17,95.7,90.7,05:29:13,06:09:13,02:32:48,02:16:35,58.3,60.9,67.1,72.8,56.0,58.9,,,39,31,,,,,,,,
2022-01-21T20:59:59-07:00,"Thursday, Jan 20, 2022","Friday, Jan 21, 2022",2022-01-20 22:15:00,2022-01-21 07:49:00,09:34:00,01:36:00,00:00:00,1,07:58:00,07:49:51,83.3,88.7,06:00:05,06:02:27,00:46:15,01:53:37,59.5,61.0,75.8,73.3,57.0,58.7,44,36,40,31,,,,,,,,
2022-01-22T20:59:59-07:00,"Friday, Jan 21, 2022","Saturday, Jan 22, 2022",2022-01-21 22:44:00,2022-01-22 06:33:00,07:49:00,01:03:00,00:00:00,1,06:46:00,07:33:08,86.6,88.4,05:29:45,05:55:53,01:49:18,01:49:27,72.4,63.0,77.2,73.7,74.0,61.0,,,20,30,,,,,,,,
2022-01-23T20:59:59-07:00,"Saturday, Jan 22, 2022","Sunday, Jan 23, 2022",2022-01-22 21:42:00,2022-01-23 06:27:00,08:45:00,00:02:00,00:00:00,1,08:43:00,07:40:00,99.6,91.9,06:47:22,06:06:40,02:38:29,02:01:09,60.0,62.6,67.9,73.5,53.0,60.0,,,35,31,,,,,,,,
2022-01-24T20:59:59-07:00,"Sunday, Jan 23, 2022","Monday, Jan 24, 2022",2022-01-23 22:00:00,2022-01-24 06:59:00,08:59:00,00:12:00,00:00:00,1,08:47:00,07:57:34,97.8,91.5,06:22:04,06:14:52,02:00:27,02:03:23,56.8,62.2,71.3,72.8,56.0,59.4,,,44,32,,,,,,,,
2022-01-25T20:59:59-07:00,"Monday, Jan 24, 2022","Tuesday, Jan 25, 2022",2022-01-24 22:44:00,2022-01-25 05:52:00,07:08:00,00:00:00,00:00:00,1,07:08:00,07:46:00,100.0,92.9,05:48:37,06:07:17,02:27:35,01:58:02,57.3,61.5,74.4,72.8,56.0,59.3,,,38,34,,,,,,,,
2022-01-26T20:59:59-07:00,"Tuesday, Jan 25, 2022","Wednesday, Jan 26, 2022",2022-01-25 22:00:00,2022-01-26 06:47:00,08:47:00,00:16:00,00:00:00,1,08:31:00,07:45:00,97.0,94.3,06:30:25,06:03:56,01:45:12,02:00:00,56.5,60.1,74.4,72.6,57.0,58.4,,,59,39,,,,,,,,
2022-01-27T20:59:59-07:00,"Wednesday, Jan 26, 2022","Thursday, Jan 27, 2022",2022-01-26 22:45:00,2022-01-27 05:42:00,06:57:00,00:15:00,00:00:00,1,06:42:00,07:47:51,96.4,94.4,05:27:01,06:03:37,02:28:53,01:59:27,58.5,60.1,75.4,73.8,54.0,58.1,,,39,39,,,,,,,,
2022-01-28T20:59:59-07:00,"Thursday, Jan 27, 2022","Friday, Jan 28, 2022",2022-01-27 22:22:00,2022-01-28 06:41:00,08:19:00,00:47:00,00:00:00,1,07:32:00,07:44:08,90.6,95.4,05:43:23,06:01:14,03:15:52,02:20:49,58.3,60.0,71.6,73.2,57.0,58.1,,,44,40,,,,,,,,
2022-01-29T20:59:59-07:00,"Friday, Jan 28, 2022","Saturday, Jan 29, 2022",2022-01-28 23:00:00,2022-01-29 04:15:00,05:15:00,00:21:00,00:00:00,1,04:54:00,07:28:08,93.3,96.4,04:00:00,05:48:25,00:15:28,02:07:25,68.1,59.4,78.1,73.3,65.0,56.9,,,24,40,,,,,,,,
2022-01-30T20:59:59-07:00,"Saturday, Jan 29, 2022","Sunday, Jan 30, 2022",2022-01-29 21:23:00,2022-01-30 07:18:00,09:55:00,00:23:00,00:00:00,1,09:32:00,07:35:08,96.1,95.9,06:28:48,05:45:45,02:15:28,02:04:07,60.1,59.4,67.9,73.3,58.0,57.6,,,31,40,,,,,,,,
2022-01-31T20:59:59-07:00,"Sunday, Jan 30, 2022","Monday, Jan 31, 2022",2022-01-30 21:37:00,2022-01-31 06:19:00,08:42:00,00:11:00,00:00:00,1,08:31:00,07:32:51,97.9,95.9,06:41:45,05:48:34,02:34:51,02:09:02,56.2,59.3,71.9,73.4,55.0,57.4,,,37,39,,,,,,,,
2022-02-01T20:59:59-07:00,"Monday, Jan 31, 2022","Tuesday, Feb 1, 2022",2022-01-31 22:08:00,2022-02-01 07:14:00,09:06:00,00:44:00,00:00:00,1,08:22:00,07:43:25,91.9,94.8,05:36:23,05:46:49,01:46:29,02:03:10,55.9,59.1,72.1,73.1,57.0,57.6,,,35,38,,,,,,,,
2022-02-02T20:59:59-07:00,"Tuesday, Feb 1, 2022","Wednesday, Feb 2, 2022",2022-02-01 21:45:00,2022-02-02 06:54:00,09:09:00,02:05:00,00:00:00,1,07:04:00,07:31:00,77.2,91.9,05:10:30,05:35:24,01:49:56,02:03:51,60.4,59.6,68.6,72.2,57.0,57.6,,,31,34,,,,,,,,
2022-02-03T20:59:59-07:00,"Wednesday, Feb 2, 2022","Thursday, Feb 3, 2022",2022-02-02 22:09:00,2022-02-03 07:00:00,08:51:00,00:12:00,00:00:00,1,08:39:00,07:47:42,97.7,92.1,07:10:42,05:50:13,03:48:58,02:15:17,57.4,59.5,67.2,71.1,56.0,57.9,,,41,35,,,,,,,,
2022-02-04T20:59:59-07:00,"Thursday, Feb 3, 2022","Friday, Feb 4, 2022",2022-02-03 22:44:00,2022-02-04 07:17:00,08:33:00,01:22:00,00:00:00,1,07:11:00,07:44:42,84.0,91.2,05:46:13,05:50:37,02:33:56,02:09:18,56.6,59.3,77.6,71.9,58.0,58.0,,,39,34,,,,,,,,
2022-02-05T20:59:59-07:00,"Friday, Feb 4, 2022","Saturday, Feb 5, 2022",2022-02-04 23:32:00,2022-02-05 06:29:00,06:57:00,00:03:00,00:00:00,1,06:54:00,08:01:51,99.3,92.0,04:58:53,05:59:02,02:18:00,02:26:48,68.5,59.3,73.6,71.3,63.0,57.7,,,21,34,,,,,,,,
2022-02-06T20:59:59-07:00,"Saturday, Feb 5, 2022","Sunday, Feb 6, 2022",2022-02-05 21:00:00,2022-02-06 07:20:00,10:20:00,01:05:00,00:00:00,1,09:15:00,07:59:25,89.5,91.1,06:45:07,06:01:22,02:45:00,02:31:01,59.2,59.2,69.7,71.5,58.0,57.7,,,43,35,,,,,,,,
2022-02-07T20:59:59-07:00,"Sunday, Feb 6, 2022","Monday, Feb 7, 2022",2022-02-06 23:01:00,2022-02-07 06:37:00,07:36:00,00:00:00,00:00:00,1,07:36:00,07:51:34,100.0,91.4,06:09:07,05:56:42,02:32:00,02:30:37,62.0,60.0,76.7,72.2,61.0,58.6,,,30,34,,,,,,,,
2022-02-08T20:59:59-07:00,"Monday, Feb 7, 2022","Tuesday, Feb 8, 2022",2022-02-07 21:47:00,2022-02-08 06:59:00,09:12:00,00:06:00,00:00:00,1,09:06:00,07:57:51,98.9,92.4,06:58:07,06:08:23,03:02:00,02:41:24,59.1,60.5,74.3,72.5,59.0,58.9,,,33,34,,,,,,,,
2022-02-09T20:59:59-07:00,"Tuesday, Feb 8, 2022","Wednesday, Feb 9, 2022",2022-02-08 22:00:00,2022-02-09 06:54:00,08:54:00,00:14:00,00:00:00,1,08:40:00,08:11:34,97.4,95.3,06:26:44,06:19:16,02:02:21,02:43:10,59.2,60.3,71.8,73.0,58.0,59.0,,,31,34,,,,,,,,
2022-02-10T20:59:59-07:00,"Wednesday, Feb 9, 2022","Thursday, Feb 10, 2022",2022-02-09 22:30:00,2022-02-10 05:55:00,07:25:00,00:00:00,00:00:00,1,07:25:00,08:01:00,100.0,95.6,06:15:07,06:11:20,02:48:48,02:34:35,58.0,60.4,69.0,73.2,57.0,59.1,,,41,34,,,,,,,,
2022-02-11T20:59:59-07:00,"Thursday, Feb 10, 2022","Friday, Feb 11, 2022",2022-02-10 22:00:00,2022-02-11 06:45:00,08:45:00,00:50:00,00:00:00,1,07:55:00,08:07:17,90.5,96.5,05:45:24,06:11:13,01:58:45,02:29:33,57.2,60.5,73.7,72.7,58.0,59.1,,,29,33,,,,,,,,
2022-02-12T20:59:59-07:00,"Friday, Feb 11, 2022","Saturday, Feb 12, 2022",2022-02-11 22:12:00,2022-02-12 06:13:00,08:01:00,01:24:00,00:00:00,1,06:37:00,08:04:51,82.5,94.1,04:30:54,06:07:13,01:13:31,02:20:20,65.0,59.9,72.7,72.6,60.0,58.7,,,27,33,,,,,,,,
2022-02-13T20:59:59-07:00,"Saturday, Feb 12, 2022","Sunday, Feb 13, 2022",2022-02-12 21:45:00,2022-02-13 06:57:00,09:12:00,00:34:00,00:00:00,1,08:38:00,07:59:34,93.8,94.7,07:24:11,06:12:48,03:33:18,02:27:14,58.0,59.8,68.7,72.4,59.0,58.9,,,35,32,,,,,,,,
2022-02-14T20:59:59-07:00,"Sunday, Feb 13, 2022","Monday, Feb 14, 2022",2022-02-13 21:44:00,2022-02-14 05:32:00,07:48:00,00:00:00,00:00:00,1,07:48:00,08:01:17,100.0,94.7,06:30:34,06:15:52,03:01:10,02:31:24,57.3,59.1,71.3,71.6,54.0,57.9,72,41,36,33,,,,,,,,
2022-02-15T20:59:59-07:00,"Monday, Feb 14, 2022","Tuesday, Feb 15, 2022",2022-02-14 22:52:00,2022-02-15 07:06:00,08:14:00,00:17:00,00:00:00,1,07:57:00,07:51:25,96.6,94.4,06:06:00,06:08:25,02:54:54,02:30:23,58.2,59.0,68.3,70.8,59.0,57.9,,,39,34,,,,,,,,
2022-02-16T20:59:59-07:00,"Tuesday, Feb 15, 2022","Wednesday, Feb 16, 2022",2022-02-15 21:15:00,2022-02-16 06:53:00,09:38:00,01:04:00,00:00:00,1,08:34:00,07:50:34,88.9,93.2,07:07:09,06:14:11,03:06:55,02:39:37,57.3,58.7,70.9,70.7,59.0,58.0,,,43,36,,,,,,,,
2022-02-17T20:59:59-07:00,"Wednesday, Feb 16, 2022","Thursday, Feb 17, 2022",2022-02-16 21:30:00,2022-02-17 04:51:00,07:21:00,00:13:00,00:00:00,1,07:08:00,07:48:08,97.1,92.8,06:15:56,06:14:18,03:18:43,02:43:53,57.5,58.7,69.2,70.7,52.0,57.3,29,41,28,34,,,,,,,,
2022-02-18T20:59:59-07:00,"Thursday, Feb 17, 2022","Friday, Feb 18, 2022",2022-02-18 00:00:00,2022-02-18 06:22:00,06:22:00,01:00:00,00:00:00,1,05:22:00,07:26:17,84.3,91.9,04:11:59,06:00:58,00:32:12,02:31:31,65.7,59.9,73.3,70.6,69.0,58.9,,,23,33,,,,,,,,
2022-02-19T20:59:59-07:00,"Friday, Feb 18, 2022","Saturday, Feb 19, 2022",2022-02-18 22:23:00,2022-02-19 07:43:00,09:20:00,00:29:00,00:00:00,1,08:51:00,07:45:25,94.8,93.6,06:43:35,06:19:55,02:46:53,02:44:52,58.8,59.0,67.4,69.9,56.0,58.3,39,42,38,34,,,,,,,,
2022-02-20T20:59:59-07:00,"Saturday, Feb 19, 2022","Sunday, Feb 20, 2022",2022-02-19 23:09:00,2022-02-20 06:05:00,06:56:00,00:03:00,00:00:00,1,06:53:00,07:30:25,99.3,94.4,05:22:39,06:02:33,02:17:40,02:34:03,59.1,59.1,65.8,69.4,57.0,58.0,,,31,34,,,,,,,,
2022-02-21T20:59:59-07:00,"Sunday, Feb 20, 2022","Monday, Feb 21, 2022",2022-02-20 21:45:00,2022-02-21 07:01:00,09:16:00,00:10:00,00:00:00,1,09:06:00,07:41:34,98.2,94.2,06:59:48,06:06:44,03:02:00,02:34:11,56.6,59.0,65.3,68.6,59.0,58.7,,,36,34,,,,,,,,
2022-02-22T20:59:59-07:00,"Monday, Feb 21, 2022","Tuesday, Feb 22, 2022",2022-02-21 21:15:00,2022-02-22 07:23:00,10:08:00,01:39:00,00:00:00,1,08:29:00,07:46:08,83.7,92.3,05:35:57,06:02:26,01:47:58,02:24:37,57.4,58.9,66.8,68.4,58.0,58.6,55,42,47,35,,,,,,,,
2022-02-23T20:59:59-07:00,"Tuesday, Feb 22, 2022","Wednesday, Feb 23, 2022",2022-02-22 21:01:00,2022-02-23 06:27:00,09:26:00,00:50:00,00:00:00,1,08:36:00,07:46:25,91.2,92.6,06:19:43,05:55:39,02:31:46,02:19:36,56.6,58.8,66.5,67.8,57.0,58.3,,,38,34,,,,,,,,
2022-02-24T20:59:59-07:00,"Wednesday, Feb 23, 2022","Thursday, Feb 24, 2022",2022-02-23 21:45:00,2022-02-24 07:01:00,09:16:00,00:47:00,00:00:00,1,08:29:00,07:58:00,91.5,91.9,06:50:41,06:00:37,01:47:58,02:06:38,58.4,58.9,67.3,67.5,60.0,59.4,,,32,35,,,,,,,,
2022-02-25T20:59:59-07:00,"Thursday, Feb 24, 2022","Friday, Feb 25, 2022",2022-02-24 21:30:00,2022-02-25 03:00:00,05:30:00,00:20:00,00:00:00,1,05:10:00,07:56:17,93.9,93.2,04:28:50,06:03:02,02:42:23,02:25:14,56.6,57.7,,,55.0,57.4,,,28,36,,,,,,,,
2022-02-27T20:59:59-07:00,"Saturday, Feb 26, 2022","Sunday, Feb 27, 2022",2022-02-26 22:40:00,2022-02-27 07:50:00,09:10:00,00:10:00,00:00:00,1,09:00:00,07:57:34,98.2,93.7,06:57:27,06:05:01,04:00:00,02:35:40,62.9,58.2,67.7,68.4,66.0,58.9,,,29,34,,,,,,,,
2022-02-28T20:59:59-07:00,"Sunday, Feb 27, 2022","Monday, Feb 28, 2022",2022-02-27 22:53:00,2022-02-28 06:54:00,08:01:00,00:09:00,00:00:00,1,07:52:00,08:06:00,98.1,93.6,06:35:42,06:15:27,03:15:19,02:43:54,57.5,58.0,68.7,68.9,58.0,59.0,43,44,64,39,,,,,,,,
2022-03-01T20:59:59-07:00,"Monday, Feb 28, 2022","Tuesday, Mar 1, 2022",2022-02-28 21:31:00,2022-03-01 06:15:00,08:44:00,01:01:00,00:00:00,1,07:43:00,07:54:08,88.4,92.1,06:19:17,06:09:40,02:34:20,02:39:57,57.9,58.2,71.3,69.7,56.0,58.6,27,44,27,38,,,,,,,,
2022-03-02T20:59:59-07:00,"Tuesday, Mar 1, 2022","Wednesday, Mar 2, 2022",2022-03-01 22:15:00,2022-03-02 06:54:00,08:39:00,00:06:00,00:00:00,1,08:33:00,07:54:42,98.8,94.3,06:45:12,06:19:33,03:06:33,02:51:11,58.1,58.3,68.3,69.9,61.0,59.0,,,35,36,,,,,,,,
2022-03-03T20:59:59-07:00,"Wednesday, Mar 2, 2022","Thursday, Mar 3, 2022",2022-03-02 21:46:00,2022-03-03 06:44:00,08:58:00,01:15:00,00:00:00,1,07:43:00,07:47:08,86.1,93.6,04:59:08,06:08:03,00:59:45,02:38:02,59.9,58.7,71.0,70.6,59.0,59.3,48,45,25,34,,,,,,,,
2022-03-04T20:59:59-07:00,"Thursday, Mar 3, 2022","Friday, Mar 4, 2022",2022-03-03 21:15:00,2022-03-04 06:34:00,09:19:00,00:51:00,00:00:00,1,08:28:00,07:47:00,90.9,93.5,05:57:53,06:00:30,01:47:45,02:38:00,61.7,59.2,68.9,70.8,63.0,59.7,,,22,33,,,,,,,,
2022-03-05T20:59:59-07:00,"Friday, Mar 4, 2022","Saturday, Mar 5, 2022",2022-03-05 01:15:00,2022-03-05 04:15:00,03:00:00,00:00:00,00:00:00,1,03:00:00,07:28:25,100.0,94.3,02:33:33,05:44:02,,,66.1,60.6,,,67.2,61.5,27,38,,,,,,,,,,
2022-03-07T20:59:59-07:00,"Sunday, Mar 6, 2022","Monday, Mar 7, 2022",2022-03-06 21:31:00,2022-03-07 07:47:00,10:16:00,00:31:00,00:00:00,1,09:45:00,07:34:51,95.0,93.9,06:49:06,05:42:50,03:35:32,02:45:36,56.2,59.6,64.9,69.0,54.0,59.7,49,41,47,36,,,,,,,,
2022-03-08T20:59:59-07:00,"Monday, Mar 7, 2022","Tuesday, Mar 8, 2022",2022-03-07 21:25:00,2022-03-08 06:31:00,09:06:00,00:51:00,00:00:00,1,08:15:00,07:38:08,90.7,92.8,05:23:05,05:32:28,01:27:21,02:23:47,58.9,59.8,66.5,68.7,55.0,59.3,,,30,36,,,,,,,,
2022-03-09T20:59:59-07:00,"Tuesday, Mar 8, 2022","Wednesday, Mar 9, 2022",2022-03-08 21:55:00,2022-03-09 06:47:00,08:52:00,00:16:00,00:00:00,1,08:36:00,07:45:42,97.0,94.1,05:55:55,05:29:07,01:31:04,02:08:54,59.7,60.1,68.2,68.2,58.0,59.6,,,44,33,,,,,,,,
2022-03-10T20:59:59-07:00,"Wednesday, Mar 9, 2022","Thursday, Mar 10, 2022",2022-03-09 21:27:00,2022-03-10 06:49:00,09:52:00,00:57:00,00:00:00,2,08:55:00,07:48:51,89.9,92.8,06:39:59,05:28:22,02:28:32,02:08:04,58.8,60.2,70.6,68.5,59.0,59.3,47,42,31,33,,,,,,,,
2022-03-11T20:59:59-07:00,"Thursday, Mar 10, 2022","Friday, Mar 11, 2022",2022-03-10 21:22:00,2022-03-11 06:50:00,09:28:00,00:58:00,00:00:00,1,08:30:00,07:55:34,89.8,93.3,06:45:47,05:43:37,03:05:27,02:07:55,58.5,60.0,76.5,69.3,57.0,59.0,40,40,25,32,,,,,,,,
2022-03-12T20:59:59-07:00,"Friday, Mar 11, 2022","Saturday, Mar 12, 2022",2022-03-11 22:30:00,2022-03-12 06:35:00,09:30:00,01:12:00,00:00:00,2,08:18:00,07:54:08,88.5,93.0,06:42:46,05:50:01,02:20:55,02:19:30,66.3,60.6,72.1,69.8,66.0,59.5,,,19,31,,,,,,,,
2022-03-13T21:59:59-06:00,"Saturday, Mar 12, 2022","Sunday, Mar 13, 2022",2022-03-12 21:53:00,2022-03-13 07:15:00,08:22:00,00:00:00,00:00:00,1,08:22:00,08:40:08,100.0,93.0,07:15:44,06:30:20,04:02:21,02:38:44,56.2,59.2,69.4,69.7,57.0,58.0,,,45,34,,,,,,,,
2022-03-14T20:59:59-06:00,"Sunday, Mar 13, 2022","Monday, Mar 14, 2022",2022-03-13 22:01:00,2022-03-14 07:11:00,09:10:00,01:37:00,00:00:00,1,07:33:00,08:21:17,82.4,91.2,05:42:25,06:20:49,01:49:21,02:23:34,58.5,59.6,66.4,70.0,53.0,57.9,,,31,32,,,,,,,,
